2025-10-27 15:06:13.858 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:07:09.317 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:07:33.960 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:08:29.769 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:08:54.122 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:09:49.832 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:10:14.233 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:11:09.916 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:11:34.676 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:12:30.370 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:12:55.175 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:13:50.663 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:14:15.445 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:15:10.971 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:15:35.636 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
